run_id,verifier_model,candidate_id,candidate_kind,problem_id,parse_ok,prediction_valid,pipeline_error_count,error,validation_errors
B__gemma3:12b__base_p39__r0,gemma3:12b,base_p39,base,39,True,False,3,pipeline_error,pipeline_error_count=3; exclude row from success metrics
B__gemma3:12b__mut_p35_Rcaplink1_linking__r0,gemma3:12b,mut_p35_Rcaplink1_linking,mutant,35,True,False,1,pipeline_error,pipeline_error_count=1; exclude row from success metrics
B__gemma3:12b__mut_p23_R_obj_w_0_0_0_objective__r0,gemma3:12b,mut_p23_R_obj_w_0_0_0_objective,mutant,23,False,False,1,RuntimeError: permanent_configuration_or_provider_error:ContextBudgetError:probe_generator:mut_p23_R_obj_w_0_0_0_objective:R_choose_one_combo is over context budget: estimated_prompt_tokens=40800 + num_predict=4000 + safety=1024 > num_ctx=40960. The unchanged prompt was not sent.,RuntimeError: permanent_configuration_or_provider_error:ContextBudgetError:probe_generator:mut_p23_R_obj_w_0_0_0_objective:R_choose_one_combo is over context budget: estimated_prompt_tokens=40800 + num_predict=4000 + safety=1024 > num_ctx=40960. The unchanged prompt was not sent.
B__gemma3:12b__mut_p39_R_cmax_B_constraint__r0,gemma3:12b,mut_p39_R_cmax_B_constraint,mutant,39,True,False,2,pipeline_error,pipeline_error_count=2; exclude row from success metrics
B__gemma3:12b__mut_p39_R_obj_Cmax_objective__r0,gemma3:12b,mut_p39_R_obj_Cmax_objective,mutant,39,True,False,1,pipeline_error,pipeline_error_count=1; exclude row from success metrics
